short,long,value,
A,,,
B,Results.ICER,65433.0609761405,
C,Results.Cost,275.095540430424,
D,Results.QALYs,0.00420422850966326,
E,Results.BC,0.000317502460013038,
F,Results.OC,5.6493804867102E-05,
G,Results.CRC,0.00047222815923763,
H,Results.MI,8.27723963757743E-05,
I,Results.Stroke,4.55573297953871E-05,
J,Results.Cancer,0.00084622442411777,
K,Results.CVE,0.000128329726171161,
L,General.Proportion Who Avoid Screening,0.05,
M,General.Proportion of Noncarriers Harmed By Screening,0,
N,General.Disutility (overall hit): Noncarrier Harm,0.0706075754186335,
O,General.Utility: Well,1,
P,General.Screening Assay Cost,200,
Q,General.Confirmation Cost,200,
R,General.Tell,0.7,
S,General.Tested,0.2,
T,General.Family Carrier,0.5,
U,HBOC.HBOC Carrier Prevalence (Overall),0.00495,
V,HBOC.Proportion: BRCA1,0.276407456222933,
W,HBOC.Proportion: BRCA2,0.289775936735078,
X,HBOC.Proportion: ATM,0.120504613067219,
Y,HBOC.Proportion: CHEK2,0.145170401054415,
Z,HBOC.Proportion: MSH6,0.0421766145735266,
AA,HBOC.Proportion: PALB2,0.0911316136320843,
AB,HBOC.Proportion: RAD51C,0.0269252494822067,
AC,HBOC.Proportion: TP53,0.00790811523253625,
AD,HBOC.Proportion ID'd Mutations with FH Testing,0.174045074626866,
AE,HBOC.HBOC Screening Test Sensitivity,0.991366102,
AF,HBOC.HBOC Screening Test Specificity,0.999,
AG,HBOC.Proportion of Known Carriers Who Get MRI,0.75,
AH,HBOC.ATM,2.97,
AI,HBOC.CHEK2,2.19,
AJ,HBOC.MSH6,2.59,
AK,HBOC.PALB2,5.53,
AL,HBOC.ATM,2.85,
AM,HBOC.MSH6,4.16,
AN,HBOC.RAD51C,18.3754740834387,
AO,HBOC.TP53,18.5,
AP,HBOC.BRCA1,0,
AQ,HBOC.BRCA2,0,
AR,HBOC.Non-BRCA,0,
AS,HBOC.BRCA1,0.63,
AT,HBOC.BRCA2,0.36,
AU,HBOC.Non-BRCA,0.36,
AV,HBOC.BRCA1,1,
AW,HBOC.BRCA2,1,
AX,HBOC.Non-BRCA,1,
AY,HBOC.BRCA1,0.31,
AZ,HBOC.BRCA2,0,
BA,HBOC.Non-BRCA,0,
BB,HBOC.BC Mortality Relative Reduction: Early Stage,0.943,
BC,HBOC.OC Mortality Relative Reduction: Early Stage,1,
BD,HBOC.RR vs. Combined BRCA: Mastectomy,0.5,
BE,HBOC.RR vs. Combined BRCA: Oophorectomy,0.5,
